Pair ID (Jfreechart),Clone Type (GPT-4o),Free from compilation error?,Pass the test cases?,Can GPT-4o refactor it?,Can JDeodorant refactor it?,Notes
82-1-2,Type-3,Yes,"No, tests fail",No,No,
143-1-3,Type-3,Yes,Yes,Yes,No,GPT refactor the whole method
143-1-4,Type-3,Yes,Yes,Yes,No,GPT refactor the whole method
143-2-3,Type-3,Yes,Yes,Yes,No,GPT refactor the whole method
143-2-4,Type-3,Yes,Yes,Yes,No,GPT refactor the whole method
145-1-2,Type-3,Yes,Yes,No,No,GPT didn't refactor the whole code fragment
158-1-2,Type-3,Yes,Yes,Yes,No,
162-1-2,Type-3,Yes,Yes,Yes,No,
240-1-3,Type-3,Yes,"No, tests fail",No,No,
240-1-4,Type-3,Yes,Yes,Yes,No,
240-2-3,Type-3,Yes,Yes,Yes,No,
240-2-4,Type-3,compilation error,compilation error,No,No,
641-1-2,Type-2,Yes,Yes,Yes,No,
678-1-2,Type-2,Yes,Yes,Yes,No,
745-1-2,Type-2,Yes,Yes,Yes,No,
755-1-2,Type-3,Yes,Yes,Yes,No,
797-1-3,Type-3,Yes,Yes,Yes,No,
797-1-4,Type-3,Yes,Yes,Yes,No,
797-2-3,Type-3,Yes,Yes,Yes,No,
797-2-4,Type-3,Yes,Yes,Yes,No,
813-1-2,Type-3,compilation error,compilation error,No,No,
838-1-2,Type-4,Yes,Yes,No,No,"GPT include all the clones in extracted method, which cause extracted method contains clones"
842-1-2,Type-3,Yes,Yes,Yes,No,
865-1-3,Type-3,compilation error,compilation error,No,No,
865-1-4,Type-3,compilation error,compilation error,No,No,
865-2-3,Type-3,Yes,Yes,Yes,No,
865-2-4,Type-3,compilation error,compilation error,No,No,
926-1-3,Type-3,compilation error,compilation error,No,No,
926-1-4,Type-3,compilation error,compilation error,No,No,
926-2-3,Type-3,compilation error,compilation error,No,No,
926-2-4,Type-3,compilation error,compilation error,No,No,
1072-1-2,Type-3,Yes,"No, tests fail",No,No,
1108-1-3,Type-1,Yes,Yes,Yes,Yes,
1108-1-4,Type-2,Yes,Yes,Yes,Yes,
1108-2-3,Type-2,Yes,Yes,Yes,Yes,
1108-2-4,Type-1,Yes,Yes,Yes,Yes,
1161-1-2,Type-3,Yes,Yes,Yes,No,
1161-3-4,Type-3,Yes,Yes,Yes,No,
1161-4-5,Type-3,Yes,Yes,Yes,No,
1161-6-7,Type-3,Yes,Yes,Yes,No,
1161-8-9,Type-3,Yes,Yes,Yes,No,
1161-8-10,Type-3,compilation error,compilation error,No,No,
1374-1-3,Type-3,compilation error,compilation error,No,No,
1374-2-3,Type-3,Yes,Yes,No,No,"GPT include all the clones in extracted method, which cause extracted method contains clones"
1415-1-2,Type-3,Yes,Yes,Yes,Yes,
1415-3-4,Type-3,Yes,Yes,Yes,Yes,
1595-1-2,Type-3,Yes,Yes,Yes,No,
1629-1-2,Type-3,Yes,Yes,Yes,No,
1714-3-4,Type-3,Yes,Yes,No,No,"GPT include all the clones in extracted method, which cause extracted method contains clones"
1729-2-4,Type-3,compilation error,compilation error,No,No,
1729-2-5,Type-3,compilation error,compilation error,No,No,
1729-3-4,Type-3,compilation error,compilation error,No,No,
1729-3-5,Type-3,compilation error,compilation error,No,No,
1757-1-2,Type-3,compilation error,compilation error,No,No,
1757-1-3,Type-3,compilation error,compilation error,No,Yes,