Pair ID(Jfreechart),Clone Type (GPT-4o),Free from compilation error?,Pass the test cases?,Can GPT-4o refactor it?,Can JDeodorant refactor it?,
45-1-2,Type-3,wrong method extracted,wrong method extracted,wrong method extracted,No,
62-1-2,Type-3,Yes,Yes,Yes,No,
65-1-2,Type-3,Yes,test fails,No,No,
131-1-2,Type-3,Yes,Yes,Yes,No,
165-1-2,Type-2,Yes,Yes,Yes,No,
182-1-3,Type-3,Yes,no test file,Yes,Yes,
182-2-3,Type-3,Yes,no test file,Yes,No,
188-1-3,Type-3,Yes,no test file,Yes,Yes,
188-1-4,Type-3,Yes,no test file,Yes,Yes,
188-2-3,Type-3,Yes,no test file,Yes,No,
188-2-4,Type-3,Yes,no test file,Yes,No,
210-1-2,Type-3,Yes,no test file,Yes,Yes,
210-1-5,Type-3,compilation error,compilation error,No,No,
210-2-3,Type-2,compilation error,compilation error,No,Yes,
210-2-4,Type-3,Yes,no test file,Yes,Yes,
210-3-5,Type-3,compilation error,compilation error,No,No,
210-4-5,Type-3,compilation error,compilation error,No,No,
211-1-2,Type-3,Yes,no test file,Yes,Yes,
211-2-3,Type-3,compilation error,compilation error,No,No,
257-1-2,Type-3,compilation error,compilation error,No,No,
552-1-2,Type-3,Yes,Yes,Yes,No,
674-1-5,Type-2,wrong method extracted,wrong method extracted,wrong method extracted,No,
674-2-5,Type-2,wrong method extracted,wrong method extracted,wrong method extracted,Yes,
674-3-5,Type-3,wrong method extracted,wrong method extracted,wrong method extracted,No,
674-4-5,Type-2,wrong method extracted,wrong method extracted,wrong method extracted,Yes,
776-28-29,Type-3,Yes,Yes,Yes,No,
789-1-4,Type-2,Yes,Yes,Yes,Yes,
789-2-4,Type-2,Yes,Yes,Yes,Yes,
789-3-4,Type-2,Yes,Yes,Yes,Yes,